transaction_id,transaction_date,employee_id,vendor_id,expense_type,amount,payment_method,approval_status
1,2029-11-15,105,10,Travel,,CASH,Rejected
2,06/11/2023,100,10,Meals,,card,Approved
3,2024-02-03,999,14,Travel,0.0,UPI,Approved
4,2029-11-15,100,11,Travel,0.0,CASH,
5,2021-10-23,104,12,meal,0.0,Card,Rejected
6,01/08/2024,102,10,meal,,UPI,Approved
7,2029-11-15,105,14,Meals,-1200.0,Bank Transfer,Rejected
8,31/02/2024,101,11,Software Subscription,0.0,Card,Rejected
9,2029-11-15,102,888,Meals,,Card,Rejected
10,31/02/2024,101,13,Meals,,UPI,Rejected
11,31/02/2024,102,888,IT Supplies,156110.0,UPI,
12,2021-05-21,102,13,Software Subscription,,Card,Pending
13,2029-11-15,102,888,Meals,-1200.0,Card,
14,2022-12-29,103,10,travel expense,-1200.0,card,approved
15,2029-11-15,100,11,Meals,-1200.0,card,
16,31/02/2024,105,13,IT Supplies,179271.0,card,approved
17,27/12/2021,101,888,travel expense,3462.0,UPI,approved
18,2022-06-23,101,13,meal,-1200.0,card,Rejected
19,2024-06-18,103,888,meal,103159.0,Bank Transfer,
20,2029-11-15,100,11,Travel,55026.0,card,Approved
21,2022-11-28,100,10,meal,,CASH,Rejected
22,25/05/2021,104,13,travel expense,-1200.0,CASH,Rejected
23,2023-01-16,100,13,Meals,126232.0,CASH,Approved
24,31/02/2024,105,12,Meals,0.0,UPI,Approved
25,31/02/2024,101,888,meal,,UPI,Pending
26,2024-08-09,105,12,meal,0.0,CASH,approved
27,31/02/2024,105,11,meal,0.0,card,
28,04/07/2025,101,14,Meals,,Card,Pending
29,15/06/2022,105,14,IT Supplies,-1200.0,CASH,Approved
30,29/07/2021,103,11,IT Supplies,53875.0,UPI,Rejected
31,2029-11-15,105,12,Software Subscription,,Bank Transfer,approved
32,2029-11-15,999,888,IT Supplies,23040.0,Bank Transfer,
33,23/06/2021,101,11,Travel,39923.0,card,Rejected
34,2029-11-15,105,12,travel expense,0.0,Card,Approved
35,2025-06-26,104,888,travel expense,0.0,card,Approved
36,31/02/2024,104,11,meal,-1200.0,UPI,
37,2025-09-05,105,12,Meals,173963.0,UPI,approved
38,2023-12-26,999,13,travel expense,,card,approved
39,2021-10-17,104,10,IT Supplies,179169.0,Card,Rejected
40,24/05/2022,102,10,Travel,133394.0,UPI,Approved
41,2029-11-15,102,14,meal,0.0,CASH,
42,2029-11-15,104,11,Software Subscription,-1200.0,UPI,approved
43,06/07/2023,103,10,Meals,-1200.0,Card,approved
44,30/05/2021,105,12,Travel,0.0,CASH,approved
45,2029-11-15,101,888,Travel,104700.0,card,approved
46,2029-11-15,104,13,IT Supplies,0.0,CASH,Pending
47,31/02/2024,100,12,meal,120537.0,Card,
48,31/02/2024,104,10,Travel,0.0,Card,Approved
49,2022-06-28,999,11,IT Supplies,0.0,Bank Transfer,Pending
50,2029-11-15,105,12,Travel,,card,
51,2021-05-29,105,10,IT Supplies,0.0,Card,Pending
52,2029-11-15,100,12,meal,-1200.0,UPI,approved
53,16/12/2023,100,11,IT Supplies,0.0,card,Pending
54,17/09/2022,102,13,meal,0.0,CASH,Pending
55,31/02/2024,100,10,Travel,0.0,UPI,
56,2022-05-19,105,888,Meals,172400.0,UPI,
57,23/09/2022,101,12,travel expense,0.0,Bank Transfer,Pending
58,11/09/2025,100,10,Software Subscription,-1200.0,Bank Transfer,approved
59,2029-11-15,999,14,Software Subscription,0.0,CASH,Approved
60,15/01/2022,102,13,Travel,-1200.0,CASH,Rejected
61,2022-10-25,102,11,IT Supplies,,CASH,
62,31/02/2024,104,888,travel expense,,Card,Pending
63,03/07/2021,103,14,Travel,,CASH,Pending
64,2024-07-13,104,14,travel expense,172671.0,CASH,
65,05/08/2022,100,888,meal,164751.0,UPI,approved
66,2023-12-09,999,888,meal,0.0,Card,Approved
67,31/02/2024,100,13,Meals,,Card,Rejected
68,2029-11-15,102,10,Meals,,UPI,Rejected
69,2021-07-08,105,888,Meals,,CASH,approved
70,30/03/2025,101,888,Software Subscription,120975.0,Bank Transfer,Approved
71,31/02/2024,999,10,meal,0.0,Card,Rejected
72,31/02/2024,105,888,Software Subscription,0.0,Card,
73,31/02/2024,105,10,Software Subscription,57367.0,CASH,Rejected
74,2029-11-15,103,10,meal,-1200.0,Card,
75,2029-11-15,100,14,Meals,70726.0,card,approved
76,2021-06-02,101,888,meal,-1200.0,card,Rejected
77,31/02/2024,100,888,IT Supplies,60955.0,Bank Transfer,
78,2021-02-20,103,888,Meals,-1200.0,card,
79,31/02/2024,100,12,Travel,-1200.0,Bank Transfer,Approved
80,2022-02-05,105,12,IT Supplies,,Bank Transfer,
81,2025-11-17,102,13,IT Supplies,,CASH,Approved
82,31/02/2024,105,11,travel expense,69959.0,UPI,Pending
83,31/02/2024,999,13,Travel,213151.0,UPI,Rejected
84,2022-02-21,100,888,Meals,0.0,CASH,
85,01/02/2024,101,13,Meals,-1200.0,CASH,Pending
86,31/02/2024,103,888,travel expense,79162.0,UPI,
87,09/12/2021,100,11,meal,237791.0,UPI,approved
88,2029-11-15,103,11,meal,0.0,Card,approved
89,2022-12-02,102,11,IT Supplies,0.0,Card,
90,28/04/2023,103,12,IT Supplies,,Bank Transfer,Pending
91,08/01/2023,105,14,meal,0.0,Card,Pending
92,2029-11-15,105,13,Meals,,card,Approved
93,2029-11-15,104,13,Travel,19472.0,UPI,
94,2023-07-09,101,11,travel expense,,Bank Transfer,Approved
95,2024-02-04,100,11,travel expense,,CASH,approved
96,2029-11-15,105,10,Travel,-1200.0,UPI,Rejected
97,31/02/2024,101,14,Travel,-1200.0,Bank Transfer,Pending
98,13/08/2024,103,14,travel expense,0.0,Card,
99,31/02/2024,100,10,travel expense,130929.0,Card,Pending
100,2029-11-15,102,11,Meals,-1200.0,Bank Transfer,Pending
101,23/03/2023,100,12,Software Subscription,,card,
102,01/10/2022,101,13,travel expense,-1200.0,Card,Rejected
103,03/06/2024,101,13,Meals,,UPI,approved
104,22/04/2021,100,14,travel expense,,Card,approved
105,31/02/2024,105,10,Travel,0.0,CASH,approved
106,2029-11-15,100,12,Software Subscription,190453.0,CASH,Pending
107,2023-06-26,100,10,IT Supplies,-1200.0,Bank Transfer,Approved
108,04/04/2025,103,12,IT Supplies,215784.0,Card,Approved
109,28/08/2023,102,14,Meals,-1200.0,CASH,
110,2029-11-15,101,888,Meals,10956.0,Card,
111,2021-05-09,102,11,Software Subscription,-1200.0,CASH,Pending
112,2022-11-18,102,888,Software Subscription,-1200.0,CASH,Pending
113,2021-01-08,100,11,Travel,124867.0,Bank Transfer,Pending
114,2029-11-15,101,13,travel expense,-1200.0,card,Rejected
115,31/02/2024,103,12,meal,0.0,Bank Transfer,approved
116,2022-05-22,105,10,Meals,-1200.0,card,
117,31/02/2024,104,10,travel expense,25576.0,Bank Transfer,
118,25/04/2022,103,13,meal,0.0,UPI,Approved
119,31/02/2024,102,12,meal,-1200.0,CASH,Pending
120,19/06/2023,101,11,travel expense,-1200.0,UPI,approved
121,2029-11-15,102,11,meal,0.0,Card,
122,2021-03-17,103,11,Meals,-1200.0,Card,Pending
123,2022-04-22,101,14,meal,,CASH,Rejected
124,2029-11-15,104,12,Software Subscription,,Card,Rejected
125,31/02/2024,101,10,IT Supplies,0.0,Card,approved
126,20/03/2021,999,10,IT Supplies,-1200.0,card,Rejected
127,09/06/2021,100,13,meal,,Bank Transfer,Approved
128,21/03/2023,105,14,Travel,0.0,Bank Transfer,Pending
129,31/02/2024,103,10,IT Supplies,-1200.0,Bank Transfer,
130,31/02/2024,105,11,Meals,191149.0,card,Approved
131,2029-11-15,100,10,Meals,-1200.0,Bank Transfer,approved
132,2021-09-24,104,11,Software Subscription,211710.0,Card,Rejected
133,30/01/2023,101,12,IT Supplies,0.0,Card,Approved
134,02/10/2023,102,11,Travel,239584.0,CASH,Approved
135,2029-11-15,100,888,meal,0.0,card,Rejected
136,12/06/2024,999,13,travel expense,0.0,Card,
137,2029-11-15,102,10,travel expense,0.0,Card,Rejected
138,2025-09-22,105,12,Travel,102493.0,UPI,Pending
139,31/02/2024,104,11,Meals,-1200.0,Bank Transfer,Rejected
140,2023-06-17,100,14,Meals,0.0,Bank Transfer,Rejected
141,2029-11-15,999,11,Meals,,Card,approved
142,31/02/2024,100,13,meal,,Card,approved
143,31/02/2024,999,888,meal,,UPI,
144,26/05/2025,100,10,meal,,card,approved
145,13/08/2022,105,888,travel expense,-1200.0,UPI,Pending
146,31/02/2024,999,13,travel expense,66926.0,card,Rejected
147,15/06/2024,102,12,Travel,0.0,Bank Transfer,approved
148,31/02/2024,103,11,IT Supplies,,CASH,
149,2024-02-12,102,14,Software Subscription,224852.0,CASH,Pending
150,26/01/2023,102,12,Travel,0.0,card,Rejected
151,31/02/2024,999,14,IT Supplies,-1200.0,Card,Approved
152,31/02/2024,104,888,Meals,-1200.0,Card,approved
153,2023-09-28,100,10,Travel,-1200.0,CASH,Approved
154,02/01/2023,103,14,IT Supplies,0.0,card,Pending
155,2029-11-15,101,11,Travel,0.0,card,
156,11/05/2021,999,888,IT Supplies,-1200.0,Card,Approved
157,31/02/2024,104,888,meal,116627.0,card,approved
158,2021-01-01,104,10,Meals,0.0,card,Approved
159,2025-05-15,104,14,Software Subscription,0.0,card,
160,2029-11-15,999,14,travel expense,-1200.0,Card,Pending
161,2029-11-15,105,14,Travel,98645.0,Bank Transfer,Approved
162,2029-11-15,101,11,Travel,0.0,Card,Approved
163,31/02/2024,105,10,IT Supplies,166988.0,UPI,Pending
164,07/08/2024,100,14,Travel,-1200.0,card,approved
165,31/02/2024,101,13,IT Supplies,0.0,Bank Transfer,Rejected
166,2023-08-20,999,10,Meals,0.0,UPI,Pending
167,2029-11-15,104,14,Travel,0.0,card,Approved
168,2021-02-25,104,11,IT Supplies,,Card,Approved
169,2021-10-11,105,10,Software Subscription,,UPI,Pending
170,2022-02-13,999,888,Meals,0.0,card,approved
171,2021-08-18,999,888,Travel,-1200.0,Bank Transfer,Approved
172,20/07/2021,102,12,IT Supplies,-1200.0,Card,Pending
173,2022-06-10,105,12,IT Supplies,201950.0,CASH,Rejected
174,2029-11-15,100,13,meal,,CASH,
175,09/04/2021,105,10,meal,-1200.0,card,
176,09/12/2023,102,10,Travel,91474.0,Card,
177,20/06/2025,103,14,IT Supplies,-1200.0,UPI,approved
178,28/07/2025,105,11,Meals,,Card,
179,2025-06-02,105,12,IT Supplies,25242.0,Bank Transfer,Approved
180,2023-05-15,102,11,IT Supplies,69295.0,UPI,Rejected
181,16/02/2023,103,11,meal,,CASH,Rejected
182,05/12/2023,999,13,Software Subscription,-1200.0,card,
183,31/02/2024,104,11,travel expense,87870.0,card,Rejected
184,31/02/2024,999,888,meal,0.0,card,Pending
185,31/02/2024,101,11,IT Supplies,-1200.0,Card,approved
186,28/07/2021,103,11,travel expense,-1200.0,CASH,
187,2022-07-15,105,10,IT Supplies,54418.0,Bank Transfer,Approved
188,2029-11-15,105,11,meal,-1200.0,Bank Transfer,Approved
189,2029-11-15,100,888,travel expense,238327.0,UPI,Rejected
190,2029-11-15,999,11,Software Subscription,0.0,card,Approved
191,31/02/2024,102,888,Software Subscription,25955.0,card,
192,30/12/2024,102,13,Meals,,UPI,
193,14/10/2024,105,12,Travel,102197.0,Card,Approved
194,18/01/2024,101,888,travel expense,-1200.0,Card,Rejected
195,14/01/2024,105,13,meal,-1200.0,UPI,Pending
196,2029-11-15,101,888,travel expense,,UPI,Pending
197,31/02/2024,102,13,Meals,,Card,
198,31/02/2024,104,12,Travel,-1200.0,Bank Transfer,Rejected
199,2029-11-15,103,11,travel expense,,card,
200,26/02/2024,999,11,IT Supplies,174897.0,Bank Transfer,Pending
201,28/01/2024,999,13,IT Supplies,0.0,CASH,
202,2029-11-15,105,11,Meals,-1200.0,CASH,approved
203,31/02/2024,103,13,Meals,,CASH,approved
204,2029-11-15,100,10,meal,-1200.0,card,Rejected
205,2025-08-30,105,10,travel expense,,CASH,Pending
206,27/07/2021,999,11,travel expense,203803.0,CASH,approved
207,05/04/2023,104,888,meal,,UPI,Pending
208,10/10/2023,104,10,Software Subscription,220312.0,Card,Rejected
209,2029-11-15,101,11,Meals,,Bank Transfer,
210,2029-11-15,101,13,travel expense,,card,Pending
211,2029-11-15,105,12,Meals,98592.0,Bank Transfer,Approved
212,31/02/2024,105,888,Travel,,CASH,Approved
213,2029-11-15,999,11,Travel,56231.0,card,Pending
214,31/02/2024,102,13,meal,0.0,CASH,
215,31/02/2024,104,10,IT Supplies,-1200.0,Bank Transfer,
216,31/02/2024,999,14,IT Supplies,53654.0,Card,Pending
217,31/02/2024,101,14,Software Subscription,,Bank Transfer,Rejected
218,2023-04-12,103,12,Travel,,card,
219,2024-05-31,999,14,meal,160663.0,UPI,approved
220,2024-07-07,101,10,Software Subscription,166392.0,card,Approved
221,2024-09-21,103,10,Software Subscription,-1200.0,card,Pending
222,31/02/2024,999,12,travel expense,,CASH,Approved
223,2023-06-02,103,14,meal,,Bank Transfer,Rejected
224,2029-11-15,100,10,Software Subscription,0.0,Bank Transfer,
225,2024-01-29,105,13,travel expense,0.0,Card,
226,2021-01-10,999,10,travel expense,,card,
227,19/07/2022,103,888,Software Subscription,,CASH,approved
228,2025-02-03,102,888,meal,186221.0,Bank Transfer,Pending
229,2021-04-18,100,10,Travel,,Bank Transfer,Pending
230,02/02/2025,999,13,meal,-1200.0,CASH,Rejected
231,2029-11-15,105,11,travel expense,,CASH,approved
232,2029-11-15,103,13,Meals,-1200.0,UPI,Pending
233,2022-08-22,104,888,Software Subscription,-1200.0,UPI,Approved
234,31/02/2024,104,13,travel expense,99043.0,Bank Transfer,Rejected
235,2029-11-15,102,888,Travel,-1200.0,CASH,
236,2021-11-19,102,11,meal,-1200.0,UPI,
237,2022-12-12,104,14,Meals,209330.0,card,approved
238,2022-09-26,105,13,Meals,0.0,CASH,Rejected
239,2029-11-15,103,14,Travel,-1200.0,Card,approved
240,31/02/2024,999,14,IT Supplies,0.0,card,approved
241,08/07/2021,999,888,IT Supplies,-1200.0,Bank Transfer,Rejected
242,02/11/2021,100,13,IT Supplies,,CASH,
243,17/06/2021,102,14,Travel,-1200.0,UPI,Rejected
244,2021-02-12,101,14,Meals,0.0,CASH,Pending
245,2029-11-15,999,14,meal,-1200.0,Card,Pending
246,2029-11-15,100,10,Travel,-1200.0,Bank Transfer,
247,2029-11-15,100,888,Travel,-1200.0,UPI,approved
248,2029-11-15,101,13,travel expense,0.0,card,approved
249,31/02/2024,100,14,Travel,,CASH,Rejected
249,2029-11-15,100,10,travel expense,,card,Pending
251,2029-11-15,999,888,Travel,-1200.0,CASH,Pending
252,31/02/2024,103,13,travel expense,0.0,card,Approved
253,08/01/2025,999,10,travel expense,0.0,Card,Rejected
254,04/02/2023,999,13,Travel,243029.0,Card,Approved
255,31/02/2024,999,11,Meals,-1200.0,card,Pending
256,2022-03-30,101,888,Meals,0.0,Bank Transfer,approved
257,2029-11-15,101,11,Travel,-1200.0,CASH,approved
258,2022-06-18,102,13,Meals,0.0,UPI,Approved
259,02/06/2025,104,13,IT Supplies,-1200.0,card,Pending
260,20/06/2022,101,10,Meals,76171.0,card,Approved
261,31/02/2024,101,888,Travel,-1200.0,UPI,approved
262,31/02/2024,101,12,Meals,10929.0,card,Pending
263,06/01/2022,999,11,meal,0.0,card,approved
264,2024-05-15,104,888,Meals,-1200.0,card,approved
265,08/06/2024,104,12,travel expense,,UPI,
266,2025-09-19,104,12,IT Supplies,74161.0,Card,Approved
267,2029-11-15,101,888,IT Supplies,0.0,UPI,Pending
268,31/02/2024,104,14,Travel,93664.0,UPI,Approved
269,01/01/2023,999,12,Software Subscription,227864.0,UPI,Approved
270,2022-08-21,105,13,Meals,,UPI,Rejected
271,12/02/2021,100,11,meal,0.0,Card,Pending
272,2022-05-28,100,10,Software Subscription,0.0,CASH,Approved
273,2029-11-15,104,11,Software Subscription,,CASH,Approved
